,Nama Wilayah,2016,2017,2018,2019,2020,2021,2022,2023
274,Kota Probolinggo,418480,437392.0,479267.0,501505,524528.0,545955.0,575195,628380.0
275,Kota Pasuruan,362224,378593.0,415171.0,434435,441531.0,461624.0,486893,529512.0
276,Kota Mojokerto,364021,391489.0,437231.0,467997,482016.0,493452.0,531804,581006.0
277,Kota Madiun,376956,404959.0,446525.0,478304,497628.0,514409.0,551620,605131.0
278,Kota Surabaya,438283,474365.0,530178.0,567474,592137.0,611466.0,652540,718370.0
279,Kota Batu,398401,424354.0,467073.0,501016,509886.0,522819.0,564010,613985.0
280,BANTEN,367949,386753.0,431069.0,462726,508091.0,530363.0,570368,618721.0
281,Pandeglang,267752,285822.0,310859.0,326517,361713.0,390754.0,416248,455297.0
282,Lebak,246389,261880.0,283901.0,298201,334509.0,358479.0,380681,419066.0
283,Tangerang,405902,423486.0,451325.0,476636,520742.0,545065.0,576122,604362.0
284,Serang,256660,269652.0,294829.0,309036,341074.0,362102.0,385864,425751.0
285,Kota Tangerang,496349,508551.0,556782.0,584318,632835.0,655061.0,695225,746468.0
286,Kota Cilegon,347949,373147.0,428867.0,459469,504571.0,540032.0,572780,632703.0
287,Kota Serang,281926,296819.0,350237.0,379641,411595.0,431210.0,460613,511575.0
288,Kota Tangerang Selatan,472968,494784.0,549150.0,593781,643083.0,665610.0,712717,782543.0
289,BALI,338967,361387.0,382598.0,400624,429834.0,452221.0,485022,529643.0
290,Jembrana,354901,374057.0,385959.0,390102,403462.0,434839.0,458214,496435.0
291,Tabanan,392479,412561.0,422345.0,425926,450571.0,488750.0,522520,562801.0
292,Badung,470732,500885.0,534069.0,547186,587737.0,613993.0,633769,688018.0
293,Gianyar,339414,358496.0,378561.0,382380,400079.0,407945.0,434163,468307.0
294,Klungkung,284789,299664.0,310764.0,312864,318139.0,342043.0,359415,384983.0
295,Bangli,305200,321674.0,327668.0,329014,346458.0,370732.0,401650,436928.0
296,Karang Asem,288436,301720.0,311321.0,315805,330441.0,354123.0,376229,404083.0
297,Buleleng,350902,372399.0,395678.0,401377,424602.0,461018.0,496390,537262.0
298,Kota Denpasar,483821,512947.0,545357.0,571246,618064.0,662499.0,712815,778203.0
299,NUSA TENGGARA BARAT,333996,345341.0,365901.0,384880,404941.0,423505.0,459826,498996.0
300,Lombok Barat,375684,390979.0,412487.0,431862,439595.0,466495.0,503509,546421.0
301,Lombok Tengah,357337,369645.0,386676.0,404633,421439.0,447200.0,480657,520852.0
302,Lombok Timur,382861,396668.0,414721.0,430727,447263.0,472304.0,503525,546404.0
303,Sumbawa,296914,300643.0,320617.0,340254,369115.0,376307.0,404396,441977.0
304,Dompu,263458,266483.0,284188.0,328740,362142.0,370120.0,404413,442451.0
305,Bima,282854,288703.0,308695.0,327602,356352.0,363228.0,395040,429327.0
306,Sumbawa Barat,435890,444465.0,459065.0,468122,489863.0,499013.0,518619,565599.0
307,Lombok Utara,387265,398702.0,416705.0,437543,451721.0,478906.0,514755,556462.0
308,Kota Mataram,414115,428754.0,457950.0,480304,499959.0,524762.0,562661,616536.0
309,Kota Bima,293048,299346.0,323187.0,352593,383161.0,399193.0,432959,471841.0
310,NUSA TENGGARA TIMUR,322947,343396.0,354898.0,373922,403005.0,415116.0,460823,507203.0
311,Sumba Barat,290944,315066.0,326334.0,331713,358252.0,364361.0,395592,422382.0
312,Sumba Timur,295684,320199.0,331295.0,343589,370487.0,375859.0,414832,443502.0
313,Kupang,309208,325677.0,336984.0,356463,379600.0,386577.0,425750,471901.0
314,Timor Tengah Selatan,276727,293617.0,302124.0,318986,338099.0,344239.0,382167,420783.0
315,Timor Tengah Utara,316487,335517.0,343965.0,363162,386990.0,394818.0,440155,485744.0
316,Belu,300914,319280.0,330944.0,349414,372087.0,379280.0,416519,459111.0
317,Alor,268450,287878.0,305853.0,311560,336402.0,364939.0,400858,438013.0
318,Lembata,309992,335693.0,353957.0,359792,388577.0,421901.0,464542,508575.0
319,Flores Timur,246851,267317.0,281757.0,279268,301611.0,329340.0,364117,405486.0
320,Sikka,266257,288332.0,298357.0,301994,324775.0,354234.0,389455,428352.0
321,Ende,315095,341219.0,358986.0,363508,392591.0,428328.0,473403,518939.0
322,Ngada,291602,315778.0,331266.0,336601,363531.0,396506.0,435916,477840.0
323,Manggarai,283439,306419.0,311833.0,316910,340633.0,371531.0,407261,443908.0
324,Rote Ndao,279079,283704.0,287867.0,305166,322619.0,341135.0,372179,410491.0
325,Manggarai Barat,282412,304277.0,313380.0,318546,340094.0,370943.0,405746,444474.0
326,Sumba Tengah,250589,271365.0,280425.0,285048,307853.0,311199.0,341513,362089.0
327,Sumba Barat Daya,313705,338742.0,350906.0,355252,383674.0,390217.0,432375,475879.0
328,Nagekeo,292032,316717.0,323316.0,328646,353481.0,386027.0,422982,472041.0
329,Manggarai Timur,276703,299530.0,313593.0,318762,344642.0,373972.0,411670,446504.0
330,Sabu Raijua,332332,354983.0,368187.0,374256,403846.0,438492.0,480844,526831.0
331,Malaka,302584,321052.0,330899.0,348919,371812.0,378824.0,419292,458399.0
332,Kota Kupang,482857,504179.0,518095.0,545219,587921.0,599880.0,648982,732921.0
333,KALIMANTAN BARAT,347880,377219.0,409287.0,438555,471200.0,483454.0,520660,563288.0
334,Sambas,345066,369202.0,407346.0,427240,438062.0,451173.0,472079,498209.0
335,Bengkayang,291430,311815.0,339891.0,357112,365755.0,372793.0,396037,416148.0
336,Landak,300123,320600.0,351942.0,374117,385314.0,395486.0,414536,451681.0
337,Pontianak,292129,318682.0,337350.0,360962,379808.0,387948.0,414334,444790.0
338,Sanggau,265067,283608.0,312909.0,328763,346983.0,363714.0,395305,416112.0
339,Ketapang,366250,391868.0,432354.0,454160,468450.0,482824.0,499724,539108.0
340,Sintang,446381,477604.0,551704.0,556885,573128.0,593844.0,620670,644010.0
341,Kapuas Hulu,369981,384275.0,430652.0,452471,465360.0,481826.0,508087,543301.0
342,Sekadau,269324,288162.0,313930.0,329835,339456.0,351726.0,370836,392195.0
343,Melawi,431660,461462.0,509138.0,534933,550535.0,570434.0,602209,640608.0
344,Kayong Utara,244046,260114.0,287078.0,302811,311643.0,321356.0,339089,365262.0
345,Kubu Raya,329511,359461.0,377302.0,401586,423430.0,431211.0,457367,492642.0
346,Kota Pontianak,427783,439648.0,483618.0,523736,567432.0,578615.0,622735,677512.0
347,Kota Singkawang,387801,410717.0,464673.0,492131,510596.0,527892.0,552823,588561.0
348,KALIMANTAN TENGAH,373484,401537.0,413529.0,438248,485635.0,506982.0,548816,596184.0
349,Kotawaringin Barat,319064,338230.0,344337.0,360942,397883.0,418388.0,476297,513949.0
350,Kotawaringin Timur,353640,381776.0,393474.0,416777,446039.0,467551.0,510290,547170.0
351,Kapuas,266943,283222.0,291820.0,305809,332999.0,345272.0,424066,485958.0
352,Barito Selatan,355341,377932.0,389405.0,408072,433787.0,450706.0,481352,512492.0
353,Barito Utara,420100,446807.0,450936.0,472552,504430.0,525236.0,563393,590832.0
354,Sukamara,418026,427101.0,442086.0,469353,522601.0,568578.0,619116,648534.0
355,Lamandau,380888,409912.0,411088.0,430656,479514.0,539744.0,588591,634710.0
356,Seruyan,387592,415798.0,428539.0,454971,504264.0,529892.0,571049,608186.0
357,Katingan,387848,412113.0,420418.0,434609,474056.0,498487.0,553082,589596.0
358,Pulang Pisau,335165,347878.0,349978.0,365674,395989.0,411258.0,454933,507058.0
359,Gunung Mas,365198,388415.0,388864.0,403045,438881.0,456984.0,479550,526341.0
360,Barito Timur,442068,467091.0,478510.0,487185,517183.0,534896.0,571786,623053.0
361,Murung Raya,402682,421903.0,442639.0,462334,492693.0,510939.0,550105,607650.0
362,Kota Palangka Raya,324082,345417.0,353853.0,379420,435008.0,456276.0,485800,530223.0
363,KALIMANTAN SELATAN,377480,402424.0,427774.0,457222,497262.0,519150.0,553073,604266.0
364,Tanah Laut,400757,425152.0,447212.0,480010,522845.0,537854.0,575061,620532.0
365,Kota Baru,369147,384977.0,401300.0,416388,466121.0,481452.0,505601,556962.0
366,Banjar,360494,381862.0,400081.0,429422,462375.0,482867.0,514991,561521.0
367,Barito Kuala,274571,291285.0,297199.0,318995,340526.0,355160.0,375707,417110.0
368,Tapin,369153,390488.0,405591.0,406367,446577.0,459160.0,484113,516532.0
369,Hulu Sungai Selatan,409235,431296.0,444455.0,461581,528622.0,494203.0,516857,547855.0
370,Hulu Sungai Tengah,322392,341024.0,354214.0,365008,417778.0,425438.0,444331,475655.0
371,Hulu Sungai Utara,385338,407608.0,420783.0,436997,488237.0,501994.0,526919,561429.0
372,Tabalong,406669,430129.0,446765.0,463980,531180.0,542800.0,573018,615912.0
373,Tanah Bumbu,408481,427852.0,451714.0,475763,513803.0,530568.0,557500,619249.0
374,Balangan,348442,368580.0,382835.0,396532,441488.0,453928.0,476190,508157.0
375,Kota Banjarmasin,417174,445428.0,477210.0,509773,543546.0,606330.0,651383,708617.0
376,Kota Banjar Baru,505380,539608.0,572195.0,614757,652030.0,653556.0,692830,753899.0
377,KALIMANTAN TIMUR,511205,548094.0,574704.0,609155,662302.0,689035.0,728208,790186.0
378,Paser,395803,433823.0,455635.0,477440,515414.0,527659.0,556371,600332.0
379,Kutai Barat,447311,485551.0,517621.0,542393,583532.0,598037.0,635478,679660.0
380,Kutai Kartanegara,424717,450581.0,485435.0,503968,548423.0,569640.0,605321,644570.0
381,Kutai Timur,470228,512345.0,543442.0,569449,610858.0,626492.0,659136,714241.0
382,Berau,465161,496385.0,502564.0,526615,568500.0,595550.0,624948,677819.0
383,Penajam Paser Utara,391083,426111.0,447539.0,466918,499807.0,513666.0,538022,583239.0
384,Mahakam Hulu,490563,534502.0,566944.0,588756,631517.0,644910.0,684644,740683.0
385,Kota Balikpapan,498721,530710.0,545971.0,572108,613622.0,657521.0,680499,743084.0
386,Kota Samarinda,566392,594645.0,616365.0,658307,719710.0,750055.0,784198,850842.0
387,Kota Bontang,513205,542985.0,549830.0,582188,636491.0,665572.0,697326,763661.0
388,KALIMANTAN UTARA,513614,552040.0,586049.0,651416,681035.0,710994.0,772914,817876.0
389,Malinau,516247,528287.0,539742.0,585654,616161.0,650444.0,692605,749933.0
390,Bulungan,383642,398397.0,413294.0,448548,472569.0,486524.0,514320,551925.0
391,Tana Tidung,354012,366856.0,376876.0,406949,425348.0,440599.0,462898,490400.0
392,Nunukan,351479,377736.0,403045.0,430630,450718.0,479712.0,519231,556342.0
393,Kota Tarakan,519774,572213.0,613593.0,654308,696585.0,711268.0,773446,819621.0
394,SULAWESI UTARA,317478,333510.0,344418.0,371283,391197.0,410805.0,427016,463432.0
395,Bolaang Mongondow,277338,287751.0,295834.0,315400,325227.0,343302.0,355639,394032.0
396,Minahasa,249736,255535.0,261388.0,275444,285596.0,299072.0,308634,338802.0
397,Kepulauan Sangihe,232736,240321.0,250475.0,263268,272971.0,283852.0,292549,313945.0
398,Kepulauan Talaud,246757,257294.0,265839.0,284681,294686.0,308395.0,319974,352120.0
399,Minahasa Selatan,283561,296600.0,303738.0,324860,336715.0,352603.0,365119,394739.0
400,Minahasa Utara,282494,294308.0,300764.0,321679,333535.0,347938.0,362428,391699.0
401,Bolaang Mongondow Utara,223588,230974.0,238645.0,254835,264227.0,275369.0,283627,316327.0
402,Siau Tagulandang Biaro,264632,276800.0,284021.0,302736,312581.0,327263.0,339250,370423.0
403,Minahasa Tenggara,285791,298736.0,305919.0,325896,332966.0,346746.0,356988,385636.0
404,Bolaang Mongondow Selatan,276229,288862.0,295875.0,316305,327648.0,345819.0,358465,397381.0
405,Bolaang Mongondow Timur,282240,293187.0,302924.0,323989,335241.0,353872.0,368578,411409.0
406,Kota Manado,334732,353018.0,364820.0,396196,424473.0,449679.0,475683,521012.0
407,Kota Bitung,337674,356120.0,368574.0,391479,416993.0,434642.0,458983,501139.0
408,Kota Tomohon,336266,354635.0,363856.0,394584,422746.0,440680.0,461424,508251.0
409,Kota Kotamobagu,274103,289077.0,298742.0,323292,343675.0,363777.0,385962,426174.0
410,SULAWESI TENGAH,375659,391763.0,413785.0,441036,474627.0,496872.0,530251,568248.0
411,Banggai Kepulauan,290742,300753.0,317475.0,338815,364025.0,373799.0,396904,432673.0
412,Banggai,344795,352840.0,373695.0,395700,417863.0,431639.0,457335,488788.0
413,Morowali,379001,381753.0,402292.0,428744,463140.0,478409.0,507523,553185.0
414,Poso,416003,429161.0,449834.0,477801,515435.0,530022.0,561276,599881.0
415,Donggala,281374,291011.0,308212.0,336404,360483.0,369784.0,395028,421493.0
416,Toli-Toli,272499,281882.0,299052.0,317448,343770.0,354427.0,378317,405556.0
417,Buol,304085,314556.0,332163.0,351135,375794.0,387444.0,410824,438363.0
418,Parigi Moutong,354554,366762.0,388440.0,414380,444258.0,458385.0,495623,531255.0
419,Tojo Una-Una,404437,417508.0,442186.0,472245,504889.0,521534.0,547910,597788.0
420,Sigi,283227,299261.0,316949.0,344631,370788.0,382579.0,409679,445106.0
421,Banggai Laut,296716,306611.0,324734.0,335604,359768.0,366005.0,384686,424660.0
422,Morowali Utara,379736,392811.0,412942.0,441554,474170.0,486511.0,519441,556204.0
423,Kota Palu,451437,473555.0,492085.0,522444,559246.0,571605.0,604280,632261.0
424,SULAWESI SELATAN,270601,283461.0,306545.0,329880,350264.0,372491.0,399755,436025.0
425,Kepulauan Selayar,296540,310978.0,348608.0,370380,396822.0,406732.0,430976,453432.0
426,Bulukumba,274318,284108.0,310753.0,330161,351180.0,369022.0,390040,406882.0
427,Bantaeng,223408,234286.0,260263.0,309357,340890.0,363342.0,394116,419677.0
428,Jeneponto,302113,315702.0,356319.0,359883,366453.0,374407.0,384299,405280.0
429,Takalar,286537,299721.0,335989.0,356973,364378.0,380564.0,399062,428941.0
430,Gowa,316428,333002.0,365503.0,385820,390917.0,408435.0,429222,456719.0
431,Sinjai,240245,250551.0,281301.0,294916,329819.0,352490.0,374226,397562.0
432,Maros,336579,348726.0,376749.0,405944,414324.0,424637.0,450275,510040.0
433,Pangkajene Dan Kepulauan,256549,268367.0,300219.0,322958,358061.0,368096.0,389613,416815.0
434,Barru,280316,289371.0,307904.0,322248,337047.0,351924.0,368150,400702.0
435,Bone,260552,272555.0,309076.0,325422,345009.0,360177.0,380513,408244.0
436,Soppeng,220192,225936.0,253457.0,297546,315455.0,341484.0,365650,398802.0
437,Wajo,258821,264376.0,297121.0,311017,350765.0,361181.0,375022,402351.0
438,Sidenreng Rappang,271301,276558.0,299332.0,312800,349452.0,360591.0,383134,421321.0
439,Pinrang,250163,256054.0,280746.0,294349,336346.0,345892.0,366808,400091.0
440,Enrekang,275971,283653.0,312674.0,331667,338731.0,352147.0,371669,408198.0
441,Luwu,271804,281195.0,305722.0,318911,347539.0,359925.0,381015,414118.0
442,Tana Toraja,251452,261573.0,299570.0,316911,336877.0,350220.0,366753,399202.0
443,Luwu Utara,288081,299339.0,329967.0,342277,354669.0,368716.0,382251,414548.0
444,Luwu Timur,277520,289214.0,315478.0,333739,350576.0,371947.0,394158,438178.0
445,Toraja Utara,393478,408827.0,309806.0,314426,328096.0,348611.0,364343,395731.0
446,Kota Makassar,347723,366430.0,386545.0,418831,442513.0,475444.0,511081,570286.0
447,Kota Parepare,281951,292685.0,308337.0,323839,363710.0,383471.0,402126,445032.0
448,Kota Palopo,261056,274319.0,292602.0,324233,362859.0,383007.0,403144,442276.0
449,SULAWESI TENGGARA,277288,285609.0,303618.0,327402,356444.0,378589.0,404137,443980.0
450,Buton,209245,211485.0,233201.0,254013,262541.0,270212.0,279627,302183.0
451,Muna,289049,296383.0,314928.0,342948,358333.0,368922.0,387114,419071.0
452,Konawe,260264,267331.0,283109.0,293801,323180.0,343781.0,363645,400581.0
453,Kolaka,320897,327329.0,349388.0,370036,406919.0,432858.0,448100,464000.0
454,Konawe Selatan,195175,200663.0,219979.0,235654,261382.0,275339.0,294510,331620.0
455,Bombana,266717,270627.0,288201.0,308396,325949.0,346726.0,368576,406706.0
456,Wakatobi,234351,239819.0,256308.0,278929,294440.0,302511.0,319981,340151.0
457,Kolaka Utara,388041,406334.0,453994.0,454127,494836.0,506903.0,511972,517092.0
458,Buton Utara,275544,280974.0,306437.0,331555,345039.0,355288.0,373792,403834.0
459,Konawe Utara,232307,244391.0,260861.0,273544,305100.0,321986.0,340061,381620.0
460,Kolaka Timur,314387,323956.0,345216.0,369870,405341.0,431179.0,458563,513085.0
461,Konawe Kepulauan,263229,271241.0,294035.0,314815,335414.0,347332.0,370692,393000.0
462,Muna Barat,287403,297787.0,315009.0,342811,357477.0,367868.0,382129,412697.0
463,Buton Tengah,215822,220897.0,231289.0,251702,264699.0,273354.0,275058,299593.0
464,Buton Selatan,205287,213869.0,214859.0,235847,248184.0,253877.0,264666,290203.0
465,Kota Kendari,291069,301894.0,327976.0,350647,384379.0,423653.0,454846,503369.0
466,Kota Baubau,291873,297991.0,311509.0,329977,344598.0,360766.0,376932,412008.0
467,GORONTALO,284232,296730.0,316296.0,333070,368990.0,389827.0,411906,442194.0
468,Boalemo,332297,348581.0,368860.0,385122,426961.0,450724.0,472906,525007.0
469,Gorontalo,368863,382722.0,409179.0,425827,475102.0,502964.0,531294,568430.0
470,Pohuwato,238364,247476.0,263617.0,275240,309174.0,327587.0,345924,370530.0
471,Bone Bolango,327354,339614.0,363982.0,380029,424275.0,449543.0,475874,505252.0
472,Gorontalo Utara,238621,251054.0,267806.0,278746,311200.0,327531.0,346557,371302.0
473,Kota Gorontalo,437129,452758.0,482585.0,520095,569538.0,598363.0,643531,697650.0
474,SULAWESI BARAT,286840,302852.0,319121.0,328144,350743.0,364251.0,405187,433131.0
475,Majene,320726,335248.0,349522.0,360362,384344.0,399350.0,433111,461255.0
476,Polewali Mandar,337138,351856.0,366355.0,376827,401057.0,416443.0,452836,482658.0
477,Mamasa,226202,239112.0,249103.0,256544,273513.0,283758.0,312206,329768.0
478,Mamuju,223150,241616.0,252429.0,259969,277078.0,287896.0,319586,340795.0
479,Mamuju Utara,312474,328100.0,330226.0,332145,354115.0,367941.0,404318,432269.0
480,Mamuju Tengah,215769,226559.0,236699.0,239592,255440.0,265413.0,290030,309227.0
481,MALUKU,414302,436865.0,456457.0,508777,555197.0,587730.0,631326,684020.0
482,Maluku Tenggara Barat,319120,339801.0,398729.0,423823,479402.0,506106.0,546300,615768.0
483,Maluku Tenggara,350661,373386.0,436927.0,464649,517821.0,549047.0,595041,669140.0
484,Maluku Tengah,405118,424632.0,431512.0,474224,503800.0,515582.0,542782,589125.0
485,Buru,396313,415403.0,420083.0,463169,492055.0,503254.0,530858,584277.0
486,Kepulauan Aru,337180,352151.0,412665.0,438848,490565.0,516604.0,562416,626086.0
487,Seram Bagian Barat,334729,350853.0,359085.0,394628,419793.0,427355.0,449297,486747.0
488,Seram Bagian Timur,319266,334645.0,341261.0,375040,398430.0,403573.0,421902,458176.0
489,Maluku Barat Daya,352004,374816.0,441211.0,468842,521899.0,535594.0,586021,658036.0
490,Buru Selatan,514124,542036.0,542747.0,596469,628659.0,644441.0,677044,743721.0
491,Kota Ambon,486931,514690.0,532719.0,571315,596042.0,621482.0,661016,716560.0
492,Kota Tual,345670,372731.0,510231.0,535425,574105.0,600172.0,640542,722498.0
493,MALUKU UTARA,376554,390998.0,412266.0,444650,462639.0,489375.0,514383,564733.0
494,Halmahera Barat,293118,302921.0,316381.0,324849,339283.0,358707.0,379108,414870.0
495,Halmahera Tengah,397379,410708.0,429805.0,454180,466973.0,491657.0,507555,552350.0
496,Kepulauan Sula,315133,320854.0,337543.0,359497,372561.0,391912.0,414512,453476.0
497,Halmahera Selatan,266155,273849.0,290627.0,310161,324767.0,343323.0,362100,400768.0
498,Halmahera Utara,208832,215837.0,228092.0,238878,248544.0,263507.0,301041,378968.0
499,Halmahera Timur,494245,509725.0,510899.0,545238,569464.0,600339.0,624983,631233.0
500,Pulau Morotai,229343,236532.0,249242.0,265761,276746.0,291879.0,301712,379931.0
501,Pulau Taliabu,331968,342401.0,360955.0,387664,401710.0,425241.0,448735,491203.0
502,Kota Ternate,489810,514396.0,537524.0,578185,595553.0,629463.0,661459,668074.0
503,Kota Tidore Kepulauan,368796,387307.0,404721.0,435277,448352.0,472651.0,484983,540752.0
504,PAPUA BARAT,474967,499778.0,516362.0,573313,610888.0,631418.0,665604,728619.0
505,Fakfak,446531,473950.0,498184.0,544783,578510.0,596406.0,628418,671021.0
506,Kaimana,342293,363581.0,386576.0,412130,438991.0,450301.0,511011,609865.0
507,Teluk Wondama,456709,488233.0,508345.0,557702,588838.0,597676.0,614573,659187.0
508,Teluk Bintuni,549169,583323.0,587770.0,644838,683667.0,693305.0,716834,787048.0
509,Manokwari,517296,547494.0,575114.0,629074,651032.0,663438.0,690028,752635.0
510,Sorong Selatan,286318,297684.0,306803.0,323369,347898.0,358864.0,422694,506944.0
511,Sorong,316088,329106.0,339187.0,357900,379951.0,388166.0,466380,559363.0
512,Raja Ampat,305019,317416.0,326050.0,347203,374488.0,388021.0,464797,557107.0
513,Tambrauw,291576,308298.0,329708.0,362884,393268.0,399421.0,485342,528817.0
514,Maybrat,300860,319571.0,335912.0,359500,383715.0,396386.0,479977,515069.0
515,Manokwari Selatan,525241,557907.0,578734.0,635595,678494.0,686235.0,702674,719773.0
516,Pegunungan Arfak,552153,586493.0,589168.0,628281,670687.0,683722.0,706497,723662.0
517,Kota Sorong,625071,657148.0,668533.0,725117,765183.0,791155.0,827339,889486.0
518,PAPUA,427176,457541.0,499463.0,540099,562992.0,591959.0,629175,686469.0
519,Merauke,310420,342842.0,345965.0,346502,366296.0,387443.0,408710,434596.0
520,Jayawijaya,367804,406219.0,409846.0,420471,461058.0,501075.0,524173,566319.0
521,Jayapura,464519,489932.0,549489.0,589521,601005.0,624845.0,651581,706549.0
522,Nabire,520951,575361.0,579470.0,579753,612872.0,665325.0,705953,771751.0
523,Kepulauan Yapen,536501,592535.0,600161.0,618487,653819.0,688204.0,716343,757676.0
524,Biak Numfor,491278,521782.0,528498.0,543971,574402.0,602931.0,627921,657182.0
525,Paniai,418520,461606.0,465658.0,479877,512058.0,556861.0,591595,654960.0
526,Puncak Jaya,526756,581537.0,589022.0,604945,639503.0,708658.0,744762,823079.0
527,Mimika,634370,684282.0,762184.0,836301,870355.0,936862.0,1002327,1056252.0
528,Boven Digoel,406678,444813.0,452723.0,458012,486179.0,520245.0,550445,585228.0
529,Mappi,273699,300400.0,301237.0,330427,351801.0,375922.0,402212,427352.0
530,Asmat,316437,349487.0,354478.0,364728,383790.0,405368.0,424978,450237.0
531,Yahukimo,320783,338613.0,379628.0,414936,428433.0,466113.0,496222,549772.0
532,Pegunungan Bintang,431818,455819.0,511229.0,560354,580393.0,632210.0,692059,766275.0
533,Tolikara,228288,252132.0,371589.0,382936,404812.0,441994.0,472692,525770.0
534,Sarmi,399291,421484.0,472720.0,518491,535586.0,554491.0,584626,633124.0
535,Keerom,504460,532499.0,597230.0,655056,677050.0,704998.0,744805,807097.0
536,Waropen,567808,627112.0,632478.0,655060,691544.0,731467.0,769979,810167.0
537,Supiori,388523,429102.0,434625.0,447524,471401.0,498615.0,526482,554954.0
538,Mamberamo Raya,591595,658412.0,666886.0,683779,727830.0,769848.0,803286,834564.0
539,Nduga *,296287,327233.0,331445.0,341566,360779.0,392990.0,420185,475682.0
540,Lanny Jaya,405347,446061.0,451802.0,464328,490508.0,537322.0,564670,625677.0
541,Mamberamo Tengah,336736,370978.0,375753.0,388619,412574.0,449409.0,475436,526584.0
542,Yalimo,286170,316059.0,320971.0,330040,347171.0,378167.0,395868,434256.0
543,Puncak,545506,602481.0,611369.0,630074,664865.0,721541.0,754778,836828.0
544,Dogiyai,427149,471762.0,477674.0,492905,512654.0,557009.0,592213,653007.0
545,Intan Jaya,542007,598436.0,606138.0,627128,662465.0,725106.0,769993,853098.0
546,Deiyai,503898,556281.0,561857.0,579263,608868.0,627742.0,647902,709749.0
547,Kota Jayapura,805746,849496.0,944479.0,992610,1021759.0,1051297.0,1099019,1147265.0
